date;idBoutique;produit;montantHt
2024-02-02;B02;Souris;11.90
2024-03-03;B03;Ecran;12.90
2024-04-04;B04;Casque;13.90
2024-05-05;B05;Webcam;14.90
2024-06-06;B06;Cable;15.90
2024-07-07;B07;Chargeur;16.90
2024-08-08;B08;Enceinte;17.90
2024-09-09;B09;Clavier;18.90
2024-10-10;B10;Souris;19.90
2024-11-11;B01;Ecran;20.90
2024-12-12;B02;Casque;21.90
2024-01-13;B03;Webcam;22.90
2024-02-14;B04;Cable;23.90
2024-03-15;B05;Chargeur;24.90
2024-04-16;B06;Enceinte;25.90
2024-05-17;B07;Clavier;26.90
2024-06-18;B08;Souris;27.90
2024-07-19;B09;Ecran;28.90
2024-08-20;B10;Casque;29.90
2024-09-21;B01;Webcam;30.90
2024-10-22;B02;Cable;31.90
2024-11-23;B03;Chargeur;32.90
2024-12-24;B04;Enceinte;33.90
2024-01-25;B05;Clavier;34.90
2024-02-26;B06;Souris;35.90
2024-03-27;B07;Ecran;36.90
2024-04-28;B08;Casque;37.90
2024-05-01;B09;Webcam;38.90
2024-06-02;B10;Cable;39.90
2024-07-03;B01;Chargeur;40.90
2024-08-04;B02;Enceinte;41.90
2024-09-05;B03;Clavier;42.90
2024-10-06;B04;Souris;43.90
2024-11-07;B05;Ecran;44.90
2024-12-08;B06;Casque;45.90
2024-01-09;B07;Webcam;46.90
2024-02-10;B08;Cable;47.90
2024-03-11;B09;Chargeur;48.90
2024-04-12;B10;Enceinte;49.90
2024-05-13;B01;Clavier;50.90
2024-06-14;B02;Souris;51.90
2024-07-15;B03;Ecran;52.90
2024-08-16;B04;Casque;53.90
2024-09-17;B05;Webcam;54.90
2024-10-18;B06;Cable;55.90
2024-11-19;B07;Chargeur;56.90
2024-12-20;B08;Enceinte;57.90
2024-01-21;B09;Clavier;58.90
2024-02-22;B10;Souris;59.90
2024-03-23;B01;Ecran;60.90
2024-04-24;B02;Casque;61.90
2024-05-25;B03;Webcam;62.90
2024-06-26;B04;Cable;63.90
2024-07-27;B05;Chargeur;64.90
2024-08-28;B06;Enceinte;65.90
2024-09-01;B07;Clavier;66.90
2024-10-02;B08;Souris;67.90
2024-11-03;B09;Ecran;68.90
2024-12-04;B10;Casque;69.90
2024-01-05;B01;Webcam;70.90
2024-02-06;B02;Cable;71.90
2024-03-07;B03;Chargeur;72.90
2024-04-08;B04;Enceinte;73.90
2024-05-09;B05;Clavier;74.90
2024-06-10;B06;Souris;75.90
2024-07-11;B07;Ecran;76.90
2024-08-12;B08;Casque;77.90
2024-09-13;B09;Webcam;78.90
2024-10-14;B10;Cable;79.90
2024-11-15;B01;Chargeur;80.90
2024-12-16;B02;Enceinte;81.90
2024-01-17;B03;Clavier;82.90
2024-02-18;B04;Souris;83.90
2024-03-19;B05;Ecran;84.90
