ville;magasin;nb
Paris;Republique;141
Marseille;Prado;46
Lyon;Bellecour;169
Toulouse;Rangueil;165
Nice;Cimiez;171
Nantes;Erdre;48
Strasbourg;Orangerie;31
Bordeaux;Quinconces;89
Paris;Republique;94
Marseille;VieuxPort;68
Lyon;Bellecour;21
Toulouse;Capitole;86
Nice;Cimiez;104
Nantes;Commerce;24
Strasbourg;Cathedrale;30
Bordeaux;Bacalan;157
Paris;Republique;152
Marseille;Prado;77
Lyon;Bellecour;149
Toulouse;Capitole;130
Nice;Cimiez;175
Nantes;Commerce;174
Strasbourg;Orangerie;30
Bordeaux;Bacalan;184
Paris;Republique;109
Marseille;VieuxPort;110
Lyon;CroixRousse;159
Toulouse;Capitole;49
Nice;Cimiez;122
Nantes;Erdre;107
Strasbourg;Orangerie;198
Bordeaux;Quinconces;167
Paris;Republique;80
Marseille;Prado;147
Lyon;CroixRousse;188
Toulouse;Rangueil;47
Nice;Cimiez;abc
Nantes;Erdre;67
Strasbourg;Cathedrale;108
Bordeaux;Quinconces;194
Paris;Montmartre;112
Marseille;VieuxPort;29
Lyon;Bellecour;137
Toulouse;Capitole;130
Nice;Promenade;197
Nantes;Commerce;135
Strasbourg;Cathedrale;127
Bordeaux;Quinconces;83
Paris;Montmartre;56
Marseille;VieuxPort;103
Lyon;CroixRousse;154
Toulouse;Rangueil;114
Nice;Promenade;43
Nantes;Commerce;60
Strasbourg;Orangerie;98
Bordeaux;Quinconces;110
Paris;Montmartre;59
Marseille;VieuxPort;176
Lyon;Bellecour;89
Toulouse;Capitole;106
Nice;Promenade;156
Nantes;Commerce;118
Strasbourg;Cathedrale;68
Bordeaux;Quinconces;175
Paris;Bastille;123
Marseille;Prado;186
Lyon;Bellecour;65
Toulouse;Rangueil;108
Nice;Cimiez;140
Nantes;Erdre;80
Strasbourg;Orangerie;35
Bordeaux;Bacalan;200
Paris;Bastille;93
Marseille;Prado;129
Lyon;Bellecour;112
Toulouse;Rangueil;145
Nice;Promenade;100
Nantes;Erdre;139
Strasbourg;Cathedrale;197
Bordeaux;Quinconces;21
Paris;Bastille;94
Marseille;VieuxPort;115
Lyon;Bellecour;169
Toulouse;Capitole;147
Nice;Cimiez;153
Nantes;Commerce;60
Strasbourg;Orangerie;73
Bordeaux;Quinconces;194
Paris;Bastille;80
Marseille;Prado;144
Lyon;Bellecour;40
Toulouse;Capitole;70
Nice;Promenade;177
Nantes;Erdre;73
Strasbourg;Orangerie;155
Bordeaux;Bacalan;160
Paris;Bastille;148
Marseille;Prado;145
Lyon;CroixRousse;181
Toulouse;Rangueil;38
Nice;Cimiez;62
Nantes;Commerce;33
Strasbourg;Orangerie;85
Bordeaux;Quinconces;189
Paris;Bastille;110
Marseille;VieuxPort;48
Lyon;CroixRousse;70
Toulouse;Capitole;175
Nice;Promenade;180
Nantes;Commerce;200
Strasbourg;Cathedrale;106
Bordeaux;Bacalan;145
Paris;Bastille;186
Marseille;Prado;101
Lyon;CroixRousse;73
Toulouse;Capitole;97
Nice;Promenade;21
Nantes;Commerce;191
Strasbourg;Orangerie;188
Bordeaux;Bacalan;150
Paris;Republique;171
Marseille;Prado;162
Lyon;CroixRousse;144
Toulouse;Rangueil;148
Nice;Cimiez;27
Nantes;Erdre;93
Strasbourg;Orangerie;32
Bordeaux;Bacalan;174
Paris;Montmartre;87
Marseille;Prado;187
Lyon;Bellecour;76
Toulouse;Capitole;192
Nice;Cimiez;153
Nantes;Erdre;193
Strasbourg;Cathedrale;127
Bordeaux;Bacalan;29
Paris;Bastille;152
Marseille;Prado;63
Lyon;Bellecour;72
Toulouse;Rangueil;173
Nice;Promenade;171
Nantes;Erdre;120
Strasbourg;Orangerie;170
Bordeaux;Quinconces;121
Paris;Republique;173
Marseille;Prado;75
Lyon;Bellecour;149
Toulouse;Capitole;119
Nice;Cimiez;129
Nantes;Commerce;179
Strasbourg;Orangerie;102
Bordeaux;Bacalan;112
Paris;Montmartre;86
Marseille;VieuxPort;155
Lyon;CroixRousse;139
Toulouse;Capitole;69
Nice;Promenade;150
Nantes;Commerce;58
Strasbourg;Cathedrale;92
Bordeaux;Quinconces;32
Paris;Montmartre;40
Marseille;Prado;-42
Lyon;CroixRousse;94
Toulouse;Capitole;23
Nice;Cimiez;73
Nantes;Erdre;88
Strasbourg;Orangerie;37
Bordeaux;Quinconces;93
Paris;Bastille;180
Marseille;Prado;82
Lyon;Bellecour;82
Toulouse;Capitole;91
Nice;Cimiez;125
Nantes;Erdre;68
Strasbourg;Cathedrale;76
Bordeaux;Bacalan;52
Paris;Bastille;158
Marseille;VieuxPort;109
Lyon;Bellecour;133
Toulouse;Rangueil;186
Nice;Promenade;167
Nantes;Erdre;180
Strasbourg;Orangerie;abc
Bordeaux;Bacalan;66
Paris;Bastille;56
Marseille;VieuxPort;118
Lyon;CroixRousse;96
Toulouse;Capitole;111
Nice;Cimiez;55
Nantes;Erdre;95
Strasbourg;Orangerie;73
Bordeaux;Quinconces;158
Paris;Montmartre;72
Marseille;Prado;96
Lyon;CroixRousse;159
Toulouse;Rangueil;190
Nice;Cimiez;119
Nantes;Erdre;161
Strasbourg;Orangerie;174
Bordeaux;Quinconces;139
Paris;Republique;107
Marseille;VieuxPort;79
Lyon;Bellecour;125
Toulouse;Capitole;67
Nice;Cimiez;98
Nantes;Erdre;45
Strasbourg;Orangerie;-2
Bordeaux;Bacalan;183
Paris;Montmartre;92
Marseille;Prado;141
Lyon;CroixRousse;147
Toulouse;Rangueil;167
Nice;Cimiez;46
Nantes;Erdre;180
Strasbourg;Orangerie;192
Bordeaux;Bacalan;138
Paris;Republique;162
Marseille;Prado;68
Lyon;Bellecour;170
Toulouse;Capitole;40
Nice;Promenade;43
Nantes;Commerce;69
Strasbourg;Cathedrale;150
Bordeaux;Quinconces;26
Paris;Bastille;43
Marseille;Prado;122
Lyon;Bellecour;39
Toulouse;Capitole;182
